eval/total_steps,standardized_return_mean,achievements_mean
4194304,0.0039062505,3.05078125
25165824,0.0,0.0859375
46137344,2.3283064e-10,1.15625
67108864,1.4551915e-10,3.140625
88080384,-8.731149e-11,2.90625
109051904,0.07421875,3.4375
130023424,-1.1641532e-10,2.12890625
150994944,1.1641532e-10,1.77734375
171966464,0.95703125,6.265625
192937984,-8.731149e-11,1.7578125
213909504,0.0039062505,1.4609375
234881024,0.09375,2.58203125
255852544,0.41015625,3.328125
276824064,0.9765625,6.4375
297795584,0.99609375,6.28515625
318767104,0.96875,5.734375
339738624,0.98828125,6.3046875
360710144,0.99609375,5.9375
381681664,0.9453125,6.3203125
402653184,0.953125,6.28125
423624704,6.4028427e-10,1.13671875
444596224,0.984375,6.328125
465567744,0.9921875,6.53125
486539264,0.99609375,6.203125
507510784,1.0,6.71484375
528482304,0.984375,7.34765625
549453824,0.953125,7.17578125
570425344,0.0546875,3.046875
591396864,0.90625,7.05859375
612368384,5.529728e-10,2.76171875
633339904,0.1328125,3.1875
654311424,0.98828125,6.90625
675282944,0.0,2.484375
696254464,0.9609375,6.09375
717225984,0.46484375,5.0546875
738197504,0.97265625,7.15234375
759169024,1.0,6.73828125
780140544,0.90234375,5.94140625
801112064,1.0,7.734375
822083584,0.94921875,7.109375
843055104,0.984375,6.7421875
864026624,0.98828125,6.9296875
884998144,0.9921875,6.87109375
905969664,0.99609375,6.70703125
926941184,0.9921875,7.20703125
947912704,1.0,6.47265625
968884224,1.0,6.421875
989855744,0.99609375,7.140625
