eval/total_steps,standardized_return_mean,achievements_mean
4194304,2.3283064e-10,1.109375
12582912,6.1118044e-10,1.50390625
20971520,2.6193447e-10,1.36328125
29360128,6.4028427e-10,1.4453125
37748736,5.529728e-10,1.44921875
46137344,4.656613e-10,1.4140625
54525952,9.604264e-10,1.4375
62914560,0.0039062514,1.52734375
71303168,1.0186341e-09,1.515625
79691776,6.1118044e-10,1.28515625
88080384,4.656613e-10,1.68359375
96468992,3.2014214e-10,2.23046875
104857600,0.01953125,2.59765625
113246208,0.09765625,3.1015625
121634816,0.421875,4.484375
130023424,0.640625,5.3515625
138412032,0.890625,6.08203125
146800640,0.96484375,6.9453125
155189248,0.9921875,6.9765625
163577856,0.984375,6.578125
171966464,1.0,6.4453125
180355072,0.9921875,6.0703125
188743680,0.99609375,6.23828125
197132288,1.0,6.30078125
205520896,0.99609375,7.37109375
213909504,1.0,5.99609375
222298112,0.99609375,6.375
230686720,1.0,6.37109375
239075328,1.0,6.64453125
247463936,0.99609375,6.61328125
255852544,1.0,6.22265625
264241152,0.99609375,6.37109375
272629760,1.0,6.0703125
281018368,1.0,6.2109375
289406976,0.99609375,6.16015625
297795584,0.99609375,6.88671875
306184192,1.0,6.12890625
314572800,1.0,6.109375
322961408,1.0,6.14453125
331350016,1.0,6.0390625
339738624,0.99609375,6.28515625
348127232,0.99609375,6.26953125
356515840,1.0,6.203125
364904448,1.0,6.1484375
373293056,0.98828125,5.9375
381681664,0.9921875,6.55859375
390070272,1.0,6.07421875
398458880,1.0,6.28125
406847488,0.99609375,6.29296875
415236096,0.9921875,6.078125
423624704,0.98828125,6.25390625
432013312,1.0,6.73046875
440401920,1.0,6.5625
448790528,1.0,6.3984375
457179136,1.0,6.3984375
465567744,1.0,6.265625
473956352,1.0,6.55078125
482344960,1.0,6.3125
490733568,1.0,6.4375
499122176,1.0,6.67578125
507510784,0.99609375,6.80078125
515899392,1.0,6.53125
524288000,1.0,6.39453125
532676608,1.0,6.4453125
541065216,1.0,6.5390625
549453824,0.9921875,6.4921875
557842432,1.0,6.703125
566231040,0.99609375,6.55078125
574619648,1.0,6.41015625
583008256,0.99609375,6.2890625
591396864,1.0,6.40625
599785472,0.984375,6.1875
608174080,1.0,6.48828125
616562688,1.0,6.35546875
624951296,1.0,6.4453125
633339904,0.99609375,6.49609375
641728512,0.99609375,6.35546875
650117120,0.99609375,6.50390625
658505728,1.0,6.37109375
666894336,0.98828125,6.328125
675282944,1.0,6.75390625
683671552,1.0,6.234375
692060160,1.0,6.40234375
700448768,1.0,6.45703125
708837376,1.0,6.64453125
717225984,0.9921875,6.1484375
725614592,1.0,6.61328125
734003200,1.0,6.46875
742391808,0.99609375,6.40234375
750780416,1.0,6.40625
759169024,1.0,6.58203125
767557632,1.0,6.64453125
775946240,1.0,6.19921875
784334848,1.0,6.54296875
792723456,1.0,6.3984375
801112064,1.0,6.265625
809500672,0.99609375,6.46484375
817889280,1.0,6.4375
826277888,1.0,6.4453125
834666496,1.0,6.7578125
843055104,1.0,6.65234375
851443712,1.0,6.3984375
859832320,1.0,6.42578125
868220928,1.0,6.3984375
876609536,1.0,6.359375
884998144,1.0,6.43359375
893386752,1.0,6.36328125
901775360,1.0,6.60546875
910163968,1.0,6.69921875
918552576,1.0,6.421875
926941184,1.0,6.34765625
935329792,0.99609375,6.23828125
943718400,1.0,6.2578125
952107008,1.0,6.3671875
960495616,1.0,6.48828125
968884224,1.0,6.5
977272832,1.0,6.53515625
985661440,1.0,6.43359375
994050048,0.9921875,6.21875
1002438656,1.0,6.34765625
