eval/total_steps,standardized_return_mean,achievements_mean
4194304,4.3655746e-10,2.89453125
25165824,8.731149e-11,0.984375
46137344,0.0,0.921875
67108864,0.0,1.03515625
88080384,1.1641532e-10,1.39453125
109051904,-8.731149e-11,0.1015625
130023424,0.0,0.5625
150994944,0.0,0.859375
171966464,2.910383e-11,1.2734375
192937984,0.34375,2.7734375
213909504,0.890625,5.9296875
234881024,0.12109375,3.20703125
255852544,0.87109375,5.95703125
276824064,0.03515625,1.43359375
297795584,0.96484375,6.58984375
318767104,0.84375,6.22265625
339738624,0.9453125,6.234375
360710144,0.9609375,6.31640625
381681664,8.1490725e-10,0.86328125
402653184,0.984375,6.6328125
423624704,0.88671875,6.76171875
444596224,0.99609375,6.61328125
465567744,0.9609375,7.05859375
486539264,0.9765625,5.890625
507510784,0.1328125,2.13671875
528482304,0.98828125,6.3203125
549453824,0.48828125,3.7890625
570425344,0.98828125,6.40625
591396864,0.984375,6.34765625
612368384,1.0,6.41015625
633339904,1.0,6.6328125
654311424,0.98828125,6.47265625
675282944,0.96875,6.41796875
696254464,1.0,6.63671875
717225984,0.29296875,3.4140625
738197504,0.15625,2.6484375
759169024,0.0078125,1.5234375
780140544,0.72265625,5.11328125
801112064,4.656613e-10,2.58984375
822083584,0.94921875,6.4375
843055104,0.9140625,6.04296875
864026624,0.83984375,5.953125
884998144,0.85546875,5.62890625
905969664,0.9375,6.3359375
926941184,0.98828125,6.33984375
947912704,0.95703125,6.4375
968884224,0.98828125,6.68359375
989855744,0.984375,6.875
