eval/total_steps,standardized_return_mean,achievements_mean
4194304,3.2014214e-10,3.234375
25165824,1.1641532e-10,1.796875
46137344,4.3655746e-10,1.87890625
67108864,5.529728e-10,1.4609375
88080384,4.0745363e-10,2.70703125
109051904,1.7462298e-10,0.73046875
130023424,-5.820766e-11,1.44140625
150994944,5.820766e-11,0.7109375
171966464,0.6171875,5.62109375
192937984,0.984375,7.01953125
213909504,0.984375,6.64453125
234881024,0.984375,7.37890625
255852544,1.0,6.828125
276824064,0.98828125,6.5234375
297795584,0.9765625,7.171875
318767104,0.98828125,7.546875
339738624,0.984375,6.96875
360710144,0.984375,7.30078125
381681664,0.9921875,7.4375
402653184,0.99609375,7.203125
423624704,0.98828125,7.578125
444596224,1.0,6.90625
465567744,0.98828125,7.12890625
486539264,0.9921875,5.9296875
507510784,1.0,7.14453125
528482304,0.9921875,6.97265625
549453824,0.9921875,6.7890625
570425344,0.99609375,6.546875
591396864,0.99609375,6.71484375
612368384,1.0,6.859375
633339904,1.0,7.10546875
654311424,1.0,6.88671875
675282944,0.9921875,6.93359375
696254464,1.0,7.0234375
717225984,1.0,6.9453125
738197504,1.0,7.16796875
759169024,1.0,7.46875
780140544,1.1523438,8.421875
801112064,1.7734375,12.015625
822083584,1.8789062,11.59375
843055104,1.828125,11.68359375
864026624,1.578125,10.8046875
884998144,1.6796875,11.0
905969664,1.7890625,11.5234375
926941184,1.8789062,11.61328125
947912704,1.9140625,11.96875
968884224,1.8632812,12.7421875
989855744,1.90625,12.2109375
