eval/total_steps,standardized_return_mean,achievements_mean
4194304,7.858034e-10,2.2109375
25165824,6.693881e-10,1.078125
46137344,0.796875,5.54296875
67108864,0.96875,6.0859375
88080384,0.9609375,6.609375
109051904,0.9921875,6.203125
130023424,0.98828125,6.01171875
150994944,0.4140625,4.2734375
171966464,0.99609375,6.69921875
192937984,0.99609375,6.65625
213909504,1.0,6.109375
234881024,0.96875,6.30859375
255852544,0.9921875,6.13671875
276824064,0.984375,6.04296875
297795584,1.0,6.2421875
318767104,0.98828125,6.86328125
339738624,1.0,5.9453125
360710144,0.99609375,6.6640625
381681664,1.671875,9.57421875
402653184,0.9765625,6.37109375
423624704,1.6640625,9.046875
444596224,1.0664062,6.9296875
465567744,1.3320312,7.796875
486539264,1.6054688,8.8515625
507510784,1.84375,9.92578125
528482304,1.5742188,8.5859375
549453824,1.21875,7.6875
570425344,1.8085938,9.671875
591396864,1.9375,10.140625
612368384,1.8984375,9.9375
633339904,1.921875,9.6484375
654311424,1.9453125,9.953125
675282944,1.9609375,9.69921875
696254464,1.9609375,9.875
717225984,1.9765625,10.15625
738197504,1.2617188,8.5
759169024,1.953125,10.0078125
780140544,1.8945312,9.80859375
801112064,1.9492188,10.0703125
822083584,1.9609375,10.0234375
843055104,1.9257812,9.84375
864026624,1.9609375,9.9375
884998144,1.9570312,9.625
905969664,1.890625,9.6953125
926941184,1.875,9.65234375
947912704,1.9257812,9.83203125
968884224,1.9375,10.00390625
989855744,1.9492188,9.8125
