eval/total_steps,standardized_return_mean,achievements_mean
4194304,3.2014214e-10,3.44140625
25165824,-1.1641532e-10,1.5703125
46137344,2.910383e-10,1.80078125
67108864,1.7462298e-10,1.3046875
88080384,2.3283064e-10,2.0390625
109051904,1.1641532e-10,0.37109375
130023424,2.910383e-11,1.140625
150994944,0.0,0.7421875
171966464,0.56640625,5.28515625
192937984,0.95703125,6.66015625
213909504,0.99609375,6.69140625
234881024,0.98828125,7.38671875
255852544,0.99609375,6.90234375
276824064,0.99609375,6.69140625
297795584,0.99609375,7.14453125
318767104,0.98828125,7.4140625
339738624,0.99609375,7.05078125
360710144,1.0,7.53125
381681664,0.99609375,7.53515625
402653184,1.0,7.265625
423624704,0.99609375,7.94140625
444596224,0.98828125,7.0390625
465567744,0.9921875,7.6015625
486539264,1.0,5.90625
507510784,1.0,7.2734375
528482304,0.984375,8.67578125
549453824,0.9921875,6.98046875
570425344,0.99609375,6.56640625
591396864,0.99609375,7.3046875
612368384,1.0,6.9765625
633339904,1.0,7.40625
654311424,1.0,7.22265625
675282944,0.99609375,7.1953125
696254464,1.0,6.97265625
717225984,0.99609375,6.98828125
738197504,0.9921875,7.15234375
759169024,0.99609375,7.40625
780140544,1.0,6.65234375
801112064,1.328125,9.41796875
822083584,1.796875,11.6640625
843055104,1.8164062,11.49609375
864026624,1.0898438,8.16015625
884998144,1.2578125,8.96875
905969664,1.6640625,10.8046875
926941184,1.7929688,11.0390625
947912704,1.8710938,11.49609375
968884224,1.9453125,12.22265625
989855744,1.9414062,12.0390625
