eval/total_steps,standardized_return_mean,achievements_mean
4194304,1.7462298e-10,3.0390625
25165824,0.0,1.2578125
46137344,2.0372681e-10,1.35546875
67108864,8.731149e-11,1.16015625
88080384,2.3283064e-10,2.12109375
109051904,-1.7462298e-10,0.37109375
130023424,1.4551915e-10,0.9453125
150994944,-8.731149e-11,0.8203125
171966464,0.51953125,5.23828125
192937984,0.95703125,6.58203125
213909504,0.98046875,6.5
234881024,0.984375,7.27734375
255852544,0.9921875,6.67578125
276824064,0.98046875,6.5234375
297795584,0.984375,6.9609375
318767104,0.9921875,7.41015625
339738624,0.9765625,6.56640625
360710144,0.9921875,6.8671875
381681664,0.9921875,7.3671875
402653184,0.98046875,6.875
423624704,0.984375,7.6171875
444596224,0.99609375,6.5703125
465567744,0.9921875,7.08203125
486539264,0.984375,5.765625
507510784,0.99609375,7.0
528482304,0.99609375,6.53125
549453824,1.0,6.66796875
570425344,0.99609375,6.5
591396864,0.98828125,6.63671875
612368384,0.99609375,6.640625
633339904,1.0,6.72265625
654311424,0.984375,6.68359375
675282944,0.98828125,6.5546875
696254464,1.0,6.8046875
717225984,1.0,6.70703125
738197504,1.0,7.04296875
759169024,0.9921875,7.20703125
780140544,1.0,6.625
801112064,1.421875,10.0078125
822083584,1.7890625,11.0859375
843055104,1.7148438,11.0234375
864026624,1.1953125,8.59375
884998144,1.375,9.19921875
905969664,1.5078125,10.14453125
926941184,1.4296875,9.33984375
947912704,1.875,11.0703125
968884224,1.828125,11.3203125
989855744,1.8242188,11.29296875
