eval/total_steps,standardized_return_mean,achievements_mean
4194304,9.895302e-10,3.2578125
25165824,1.36788e-09,2.13671875
46137344,1.2805685e-09,2.71484375
67108864,7.566996e-10,3.74609375
88080384,6.4028427e-10,4.01953125
109051904,0.0039062498,4.4453125
130023424,1.7462298e-10,3.48828125
150994944,0.0,3.62890625
171966464,0.7890625,6.37890625
192937984,1.2226562,8.49609375
213909504,1.8867188,8.78125
234881024,1.84375,9.04296875
255852544,1.8984375,9.19921875
276824064,1.9414062,9.31640625
297795584,1.9414062,9.19921875
318767104,1.9296875,9.2578125
339738624,1.9335938,10.10546875
360710144,1.9375,8.7890625
381681664,1.9609375,9.51171875
402653184,1.9257812,9.453125
423624704,1.8359375,9.984375
444596224,1.8632812,10.1484375
465567744,1.9140625,10.5234375
486539264,1.890625,9.86328125
