eval/total_steps,standardized_return_mean,achievements_mean
4194304,2.910383e-11,3.75
25165824,8.731149e-11,3.1796875
46137344,8.731149e-10,2.90234375
67108864,6.693881e-10,1.51171875
88080384,8.440111e-10,2.1015625
109051904,7.566996e-10,2.88671875
130023424,5.820766e-10,3.62890625
150994944,0.03515625,5.1484375
171966464,0.44140625,6.58984375
192937984,1.0039062,8.14453125
213909504,1.140625,9.04296875
234881024,1.4921875,8.89453125
255852544,1.7070312,10.22265625
276824064,1.8632812,10.6328125
297795584,1.8945312,11.32421875
318767104,1.84375,11.7109375
339738624,1.7851562,10.8828125
360710144,1.8710938,12.01171875
381681664,1.8984375,11.50390625
402653184,1.9335938,12.56640625
423624704,1.9296875,12.80859375
444596224,1.890625,11.37109375
465567744,1.8554688,11.63671875
486539264,1.9648438,13.484375
