eval/total_steps,standardized_return_mean,achievements_mean
4194304,0.003906251,3.1796875
25165824,1.0768417e-09,1.62890625
46137344,4.0745363e-10,1.625
67108864,1.4551915e-10,2.83203125
88080384,-1.1641532e-10,3.80078125
109051904,-1.1641532e-10,3.60546875
130023424,-1.7462298e-10,3.10546875
150994944,0.003906251,4.16796875
171966464,0.65625,5.52734375
192937984,0.57421875,5.11328125
213909504,1.6835938,8.0390625
234881024,1.1367188,8.03125
255852544,0.28515625,2.20703125
276824064,0.91015625,5.75390625
297795584,1.3164062,6.80078125
318767104,1.484375,6.93359375
339738624,1.6054688,8.97265625
360710144,1.46875,8.3203125
381681664,1.6484375,8.4296875
402653184,1.6171875,8.875
423624704,1.7109375,10.18359375
444596224,1.546875,9.1171875
465567744,1.8164062,11.09765625
486539264,1.7929688,10.265625
