eval/total_steps,standardized_return_mean,achievements_mean
4194304,0.007812501,3.1796875
25165824,7.566996e-10,2.484375
46137344,1.0186341e-09,3.3828125
67108864,0.003906251,4.515625
88080384,2.066372e-09,4.80859375
109051904,-2.3283064e-10,4.43359375
130023424,0.0039062495,3.56640625
150994944,0.00390625,4.51953125
171966464,0.28125,5.5859375
192937984,1.171875,8.60546875
213909504,1.5546875,9.2421875
234881024,0.71484375,7.98046875
255852544,0.01953125,4.0
276824064,0.078125,4.78125
297795584,0.9609375,7.625
318767104,1.3671875,9.234375
339738624,1.7148438,11.02734375
360710144,1.4609375,10.37109375
381681664,1.7851562,11.33984375
402653184,1.8242188,11.484375
423624704,1.375,9.28515625
444596224,1.2773438,9.4921875
465567744,1.515625,10.61328125
486539264,1.46875,11.5546875
