eval/total_steps,standardized_return_mean,achievements_mean
4194304,8.731149e-10,1.8515625
25165824,0.0,1.03515625
46137344,1.7462298e-10,1.18359375
67108864,-8.731149e-11,1.23046875
88080384,-5.820766e-11,2.75
109051904,1.7462298e-10,2.44921875
130023424,1.7462298e-10,2.58984375
150994944,0.00390625,2.26171875
171966464,0.00390625,1.2265625
192937984,-2.6193447e-10,1.08984375
213909504,0.00390625,0.95703125
234881024,0.00390625,0.703125
255852544,-2.6193447e-10,0.48828125
276824064,2.910383e-11,0.47265625
297795584,-3.4924597e-10,0.6875
318767104,4.656613e-10,0.22265625
339738624,-8.731149e-11,0.828125
360710144,-2.910383e-11,0.4140625
381681664,-8.731149e-11,0.203125
402653184,2.3283064e-10,0.421875
423624704,0.00390625,0.7421875
444596224,4.947651e-10,0.32421875
465567744,0.0078124995,1.0234375
486539264,0.0625,0.76953125
