eval/total_steps,standardized_return_mean,achievements_mean
4194304,5.529728e-10,2.95703125
25165824,8.731149e-11,0.65625
46137344,7.2759576e-10,1.25
67108864,2.3283064e-10,1.81640625
88080384,0.0,3.05859375
109051904,2.3283064e-10,2.70703125
130023424,3.2014214e-10,2.625
150994944,-2.3283064e-10,2.49609375
171966464,0.0,2.0234375
192937984,-2.6193447e-10,1.640625
213909504,0.05078125,1.19921875
234881024,0.01171875,1.0
255852544,0.046875,0.94140625
276824064,0.046875,1.44921875
297795584,0.01171875,1.921875
318767104,0.09375,1.09765625
339738624,0.0546875,2.0
360710144,0.05078125,1.6953125
381681664,0.015625,1.39453125
402653184,0.5078125,4.3984375
423624704,0.41796875,3.5
444596224,1.3476562,7.546875
465567744,1.3203125,7.828125
486539264,1.4726562,7.9765625
