eval/total_steps,standardized_return_mean,achievements_mean
4194304,5.529728e-10,2.35546875
12582912,6.9849193e-10,2.52734375
20971520,2.0372681e-10,2.23828125
29360128,9.604264e-10,4.01171875
37748736,-8.731149e-11,4.74609375
46137344,0.0078124995,5.14453125
54525952,0.02734375,5.72265625
62914560,0.12109375,5.62890625
71303168,0.6171875,7.0546875
79691776,0.90234375,6.46875
88080384,0.95703125,7.26953125
96468992,0.98828125,7.71875
104857600,1.0,9.75390625
113246208,0.94921875,10.7890625
121634816,0.890625,8.8203125
130023424,1.1523438,10.36328125
138412032,0.90234375,8.8203125
146800640,0.8828125,8.38671875
155189248,0.98828125,9.23046875
163577856,1.1914062,10.84375
171966464,0.171875,5.7109375
180355072,0.953125,10.16796875
188743680,1.40625,10.6953125
197132288,1.375,12.06640625
205520896,1.4140625,9.53515625
213909504,1.2148438,10.48828125
222298112,1.2421875,10.03125
230686720,1.4023438,10.6015625
239075328,1.328125,10.78515625
247463936,1.5546875,13.32421875
255852544,1.7773438,13.25390625
264241152,1.578125,12.66015625
272629760,1.5351562,12.0625
281018368,1.5664062,10.97265625
289406976,1.765625,13.32421875
297795584,1.7304688,12.578125
306184192,1.703125,11.78515625
314572800,1.7460938,12.2734375
322961408,1.6953125,13.07421875
331350016,1.703125,12.94140625
339738624,1.71875,11.84375
348127232,1.796875,12.0234375
356515840,1.7539062,11.3203125
364904448,1.6796875,11.78515625
373293056,1.6953125,12.2265625
381681664,1.6875,11.79296875
390070272,1.5585938,11.53125
398458880,1.53125,12.41796875
406847488,1.7539062,12.609375
415236096,1.8671875,14.24609375
423624704,1.7382812,11.12109375
432013312,1.765625,12.8828125
440401920,1.6679688,12.875
448790528,1.703125,12.80859375
457179136,1.6757812,13.46484375
465567744,1.6835938,12.03515625
473956352,1.828125,13.890625
482344960,1.7304688,12.51953125
490733568,1.78125,12.91015625
499122176,1.78125,13.078125
