eval/total_steps,standardized_return_mean,achievements_mean
4194304,1.193257e-09,1.99609375
25165824,5.820766e-11,1.26171875
46137344,2.0372681e-10,1.60546875
67108864,2.0372681e-10,1.86328125
88080384,5.820766e-11,3.73046875
109051904,-2.910383e-11,2.7890625
130023424,0.01171875,3.59375
150994944,0.03125,2.80859375
171966464,0.02734375,1.87890625
192937984,0.125,2.36328125
213909504,0.5859375,3.7890625
234881024,0.25390625,2.44140625
255852544,0.41796875,3.0390625
276824064,4.0745363e-10,0.9765625
297795584,1.7851562,7.70703125
318767104,0.0,0.44921875
339738624,1.8320312,7.515625
360710144,1.7734375,7.4375
381681664,1.7226562,7.2890625
402653184,1.765625,8.10546875
423624704,1.7304688,8.52734375
444596224,1.671875,8.28515625
465567744,1.7382812,9.0859375
486539264,1.7109375,8.203125
