eval/total_steps,standardized_return_mean,achievements_mean
4194304,7.566996e-10,2.4375
12582912,4.3655746e-10,2.98046875
20971520,8.440111e-10,2.3984375
29360128,4.0745363e-10,1.87890625
37748736,-1.1641532e-10,2.01171875
46137344,2.0372681e-10,2.0234375
54525952,1.1641532e-10,3.9453125
62914560,2.910383e-11,3.24609375
71303168,-5.820766e-11,3.67578125
79691776,0.0039062495,3.765625
88080384,-3.783498e-10,3.80078125
96468992,2.0372681e-10,4.015625
104857600,-3.4924597e-10,3.953125
113246208,0.0039062498,3.58203125
121634816,0.03515625,4.64453125
130023424,0.31640625,7.515625
138412032,0.7578125,7.28125
146800640,0.953125,7.80078125
155189248,0.9921875,8.09765625
163577856,1.0,8.17578125
171966464,1.015625,8.4609375
180355072,0.99609375,8.15234375
188743680,1.109375,8.16796875
197132288,1.2929688,8.29296875
205520896,1.3671875,8.140625
213909504,1.3398438,7.85546875
222298112,1.5078125,8.26953125
230686720,1.6289062,9.515625
239075328,1.5507812,9.625
247463936,1.28125,8.74609375
255852544,1.484375,10.15625
264241152,1.6015625,11.0703125
272629760,1.75,11.23828125
281018368,1.640625,10.98046875
289406976,1.5585938,9.37890625
297795584,1.671875,9.91796875
306184192,1.6992188,10.77734375
314572800,1.7265625,11.01953125
322961408,1.515625,9.7109375
331350016,1.6875,10.78515625
339738624,1.6640625,10.375
348127232,1.7851562,10.76171875
356515840,1.6601562,10.66796875
364904448,1.7695312,10.2265625
373293056,1.7421875,10.7421875
381681664,1.6328125,10.13671875
390070272,1.6171875,10.0390625
398458880,1.75,10.359375
406847488,1.7421875,10.05078125
415236096,1.7421875,10.0390625
423624704,1.6367188,9.1015625
432013312,1.7578125,11.328125
440401920,1.7695312,10.7734375
448790528,1.7226562,10.53515625
457179136,1.7734375,10.5625
465567744,1.8476562,10.5390625
473956352,1.8320312,11.15625
482344960,1.8554688,11.21875
490733568,1.796875,11.125
499122176,1.7773438,10.54296875
