eval/total_steps,standardized_return_mean,achievements_mean
4194304,-8.731149e-11,3.73828125
25165824,3.783498e-10,2.3359375
46137344,1.4551915e-10,1.7421875
67108864,3.2014214e-10,1.25390625
88080384,6.1118044e-10,1.70703125
109051904,3.4924597e-10,1.78515625
130023424,0.01171875,3.78515625
150994944,0.1328125,4.3203125
171966464,0.67578125,6.5859375
192937984,0.95703125,7.54296875
213909504,1.0,8.37890625
234881024,0.9921875,9.02734375
255852544,0.99609375,10.05078125
276824064,0.99609375,10.49609375
297795584,0.99609375,10.6015625
318767104,0.9921875,10.54296875
339738624,1.0,9.81640625
360710144,0.98828125,11.15234375
381681664,0.984375,11.14453125
402653184,1.0,10.75
423624704,1.0,10.7578125
444596224,1.0,11.21484375
465567744,0.984375,11.31640625
486539264,1.0,10.9609375
