eval/total_steps,standardized_return_mean,achievements_mean
4194304,6.693881e-10,2.96484375
25165824,5.820766e-11,0.76953125
46137344,1.1641532e-10,1.0390625
67108864,1.1641532e-10,1.546875
88080384,5.820766e-11,2.56640625
109051904,0.64453125,4.60546875
130023424,0.90625,6.76171875
150994944,0.44921875,5.4609375
171966464,0.99609375,8.953125
192937984,0.98828125,8.7265625
213909504,1.0,9.2421875
234881024,0.953125,8.70703125
255852544,0.9609375,8.87890625
276824064,0.609375,7.0234375
297795584,0.9609375,7.42578125
318767104,0.98828125,8.34765625
339738624,0.953125,7.69921875
360710144,0.98828125,7.99609375
381681664,1.0,8.15234375
402653184,0.984375,7.96484375
423624704,0.25390625,6.171875
444596224,0.9765625,8.12109375
465567744,0.99609375,8.0390625
486539264,0.984375,8.01953125
