eval/total_steps,standardized_return_mean,achievements_mean
4194304,4.3655746e-10,3.38671875
25165824,8.731149e-11,1.15625
46137344,0.0,0.203125
67108864,0.0,0.0390625
88080384,2.910383e-11,1.109375
109051904,-8.731149e-11,1.1484375
130023424,2.6193447e-10,1.79296875
150994944,2.3283064e-10,2.703125
171966464,0.5625,5.82421875
192937984,0.5234375,4.6953125
213909504,0.9609375,8.1015625
234881024,0.98828125,7.13671875
255852544,0.9921875,8.9140625
276824064,1.0,8.8671875
297795584,0.9921875,9.03125
318767104,0.98828125,8.265625
339738624,1.0,8.56640625
360710144,0.9765625,8.828125
381681664,0.9921875,8.63671875
402653184,1.0,8.22265625
423624704,0.99609375,9.25
444596224,0.9921875,9.5390625
465567744,0.99609375,9.14453125
486539264,0.99609375,9.1484375
