eval/total_steps,standardized_return_mean,achievements_mean
4194304,9.0221874e-10,2.3671875
25165824,5.820766e-11,1.23046875
46137344,1.7462298e-10,1.30078125
67108864,-2.6193447e-10,2.2265625
88080384,4.656613e-10,1.75390625
109051904,6.4028427e-10,1.2890625
130023424,0.546875,6.09765625
150994944,0.9765625,7.03515625
171966464,0.9921875,7.28515625
192937984,0.99609375,8.26953125
213909504,0.9921875,6.83203125
234881024,0.96875,7.515625
255852544,0.99609375,8.89453125
276824064,0.984375,7.71484375
297795584,0.9921875,6.6796875
318767104,0.984375,6.98828125
339738624,0.98828125,7.10546875
360710144,0.7265625,6.63671875
381681664,0.75,7.09765625
402653184,1.0,7.234375
423624704,1.0,7.56640625
444596224,0.9921875,7.625
465567744,0.98828125,7.6484375
486539264,0.9921875,7.73828125
