eval/total_steps,standardized_return_mean,achievements_mean
4194304,1.7462298e-10,3.41796875
25165824,6.693881e-10,2.23828125
46137344,6.1118044e-10,1.5
67108864,1.4551915e-10,1.3359375
88080384,5.820766e-10,1.76171875
109051904,4.0745363e-10,1.58984375
130023424,0.00390625,3.5703125
150994944,0.0703125,4.0390625
171966464,0.67578125,6.7421875
192937984,0.94921875,7.1484375
213909504,0.98828125,8.60546875
234881024,0.9921875,8.72265625
255852544,0.9921875,9.66015625
276824064,0.9921875,9.4140625
297795584,0.984375,10.08203125
318767104,0.9921875,9.8515625
339738624,0.99609375,9.2109375
360710144,0.71875,7.7265625
381681664,1.0,9.1796875
402653184,0.984375,8.52734375
423624704,0.9375,8.94921875
444596224,0.99609375,9.22265625
465567744,0.9921875,8.92578125
486539264,0.99609375,9.23828125
