eval/total_steps,standardized_return_mean,achievements_mean
4194304,1.0186341e-09,2.328125
25165824,1.7462298e-10,1.3046875
46137344,0.0,1.34765625
67108864,-6.1118044e-10,2.26953125
88080384,-7.2759576e-10,1.84765625
109051904,7.566996e-10,1.3203125
130023424,0.53515625,6.18359375
150994944,0.98828125,6.90625
171966464,0.98828125,7.26953125
192937984,0.98046875,8.4140625
213909504,0.99609375,7.03125
234881024,0.9609375,7.76171875
255852544,0.98828125,9.71875
276824064,0.98828125,7.6640625
297795584,0.9921875,6.6640625
318767104,0.99609375,7.30859375
339738624,1.0,7.21875
360710144,0.9453125,6.9609375
381681664,0.9375,7.59375
402653184,0.99609375,7.62109375
423624704,0.99609375,9.015625
444596224,0.99609375,8.09375
465567744,0.99609375,9.0390625
486539264,0.9921875,8.56640625
