eval/total_steps,standardized_return_mean,achievements_mean
4194304,8.731149e-11,3.10546875
25165824,8.731149e-11,0.98828125
46137344,0.0,0.203125
67108864,0.0,0.05078125
88080384,1.7462298e-10,0.94921875
109051904,8.731149e-11,0.95703125
130023424,-5.529728e-10,0.80078125
150994944,4.0745363e-10,2.09765625
171966464,9.313226e-10,2.5390625
192937984,-4.3655746e-10,1.38671875
213909504,0.00390625,2.37109375
234881024,0.171875,3.70703125
255852544,0.85546875,6.7734375
276824064,0.9765625,7.59765625
297795584,0.97265625,7.51953125
318767104,0.53515625,5.1015625
339738624,1.0,7.5546875
360710144,0.984375,7.359375
381681664,1.0,8.16015625
402653184,0.9765625,8.0703125
423624704,0.94140625,8.54296875
444596224,0.9375,8.640625
465567744,0.8671875,8.25390625
486539264,0.93359375,8.28515625
