run_id,run_type,icm_weight,rnd_weight,extrinsic_weight,seed,final_performance,final_achievements,history_file,alpha_history_file
curriculum_icm+rnd_seed1_alpha3,curriculum,0.25,0.0,0.75,1,0.9921875,8.72265625,histories/curriculum_icm+rnd_seed1_alpha3.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha3.csv
curriculum_icm+rnd_seed1_alpha4,curriculum,0.125,0.125,0.75,1,0.984375,9.2421875,histories/curriculum_icm+rnd_seed1_alpha4.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha4.csv
curriculum_icm+rnd_seed1_alpha5,curriculum,0.0,0.25,0.75,1,1.0,10.58984375,histories/curriculum_icm+rnd_seed1_alpha5.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha5.csv
curriculum_icm+rnd_seed1_alpha6,curriculum,0.375,0.0,0.625,1,0.99609375,8.4609375,histories/curriculum_icm+rnd_seed1_alpha6.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha6.csv
curriculum_icm+rnd_seed1_alpha7,curriculum,0.25,0.125,0.625,1,0.984375,8.8828125,histories/curriculum_icm+rnd_seed1_alpha7.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha7.csv
curriculum_icm+rnd_seed1_alpha8,curriculum,0.125,0.25,0.625,1,0.99609375,9.671875,histories/curriculum_icm+rnd_seed1_alpha8.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha8.csv
curriculum_icm+rnd_seed1_alpha9,curriculum,0.0,0.375,0.625,1,0.98828125,10.4921875,histories/curriculum_icm+rnd_seed1_alpha9.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha9.csv
curriculum_icm+rnd_seed1_alpha10,curriculum,0.5,0.0,0.5,1,0.9921875,8.4296875,histories/curriculum_icm+rnd_seed1_alpha10.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha10.csv
curriculum_icm+rnd_seed1_alpha11,curriculum,0.375,0.125,0.5,1,1.0,8.75390625,histories/curriculum_icm+rnd_seed1_alpha11.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha11.csv
curriculum_icm+rnd_seed1_alpha12,curriculum,0.25,0.25,0.5,1,0.9921875,9.13671875,histories/curriculum_icm+rnd_seed1_alpha12.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha12.csv
curriculum_icm+rnd_seed1_alpha13,curriculum,0.125,0.375,0.5,1,0.98828125,10.3203125,histories/curriculum_icm+rnd_seed1_alpha13.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha13.csv
curriculum_icm+rnd_seed1_alpha14,curriculum,0.0,0.5,0.5,1,0.984375,10.67578125,histories/curriculum_icm+rnd_seed1_alpha14.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha14.csv
curriculum_icm+rnd_seed1_alpha15,curriculum,0.625,0.0,0.375,1,1.0,8.45703125,histories/curriculum_icm+rnd_seed1_alpha15.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha15.csv
curriculum_icm+rnd_seed1_alpha16,curriculum,0.5,0.125,0.375,1,0.98046875,8.46484375,histories/curriculum_icm+rnd_seed1_alpha16.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha16.csv
curriculum_icm+rnd_seed1_alpha17,curriculum,0.375,0.25,0.375,1,0.99609375,8.83984375,histories/curriculum_icm+rnd_seed1_alpha17.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha17.csv
curriculum_icm+rnd_seed1_alpha18,curriculum,0.25,0.375,0.375,1,0.9921875,9.68359375,histories/curriculum_icm+rnd_seed1_alpha18.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha18.csv
curriculum_icm+rnd_seed1_alpha19,curriculum,0.125,0.5,0.375,1,0.98828125,10.4453125,histories/curriculum_icm+rnd_seed1_alpha19.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha19.csv
curriculum_icm+rnd_seed1_alpha20,curriculum,0.0,0.625,0.375,1,0.98828125,10.64453125,histories/curriculum_icm+rnd_seed1_alpha20.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha20.csv
curriculum_icm+rnd_seed1_alpha21,curriculum,0.75,0.0,0.25,1,0.98046875,8.40625,histories/curriculum_icm+rnd_seed1_alpha21.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha21.csv
curriculum_icm+rnd_seed1_alpha22,curriculum,0.625,0.125,0.25,1,0.984375,8.2578125,histories/curriculum_icm+rnd_seed1_alpha22.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha22.csv
curriculum_icm+rnd_seed1_alpha23,curriculum,0.5,0.25,0.25,1,0.99609375,8.6328125,histories/curriculum_icm+rnd_seed1_alpha23.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha23.csv
curriculum_icm+rnd_seed1_alpha24,curriculum,0.375,0.375,0.25,1,0.984375,9.0546875,histories/curriculum_icm+rnd_seed1_alpha24.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha24.csv
curriculum_icm+rnd_seed1_alpha25,curriculum,0.25,0.5,0.25,1,0.9921875,9.921875,histories/curriculum_icm+rnd_seed1_alpha25.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha25.csv
curriculum_icm+rnd_seed1_alpha26,curriculum,0.125,0.625,0.25,1,0.96875,10.484375,histories/curriculum_icm+rnd_seed1_alpha26.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha26.csv
curriculum_icm+rnd_seed1_alpha27,curriculum,0.0,0.75,0.25,1,0.95703125,10.6640625,histories/curriculum_icm+rnd_seed1_alpha27.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha27.csv
curriculum_icm+rnd_seed1_alpha28,curriculum,0.875,0.0,0.125,1,0.01953125,2.7109375,histories/curriculum_icm+rnd_seed1_alpha28.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha28.csv
curriculum_icm+rnd_seed1_alpha29,curriculum,0.75,0.125,0.125,1,0.1875,3.70703125,histories/curriculum_icm+rnd_seed1_alpha29.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha29.csv
curriculum_icm+rnd_seed1_alpha30,curriculum,0.625,0.25,0.125,1,0.9921875,8.44140625,histories/curriculum_icm+rnd_seed1_alpha30.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha30.csv
curriculum_icm+rnd_seed1_alpha31,curriculum,0.5,0.375,0.125,1,0.99609375,8.8125,histories/curriculum_icm+rnd_seed1_alpha31.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha31.csv
curriculum_icm+rnd_seed1_alpha32,curriculum,0.375,0.5,0.125,1,0.97265625,9.14453125,histories/curriculum_icm+rnd_seed1_alpha32.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha32.csv
curriculum_icm+rnd_seed1_alpha33,curriculum,0.25,0.625,0.125,1,0.96875,10.01953125,histories/curriculum_icm+rnd_seed1_alpha33.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha33.csv
curriculum_icm+rnd_seed1_alpha34,curriculum,0.125,0.75,0.125,1,0.953125,10.66015625,histories/curriculum_icm+rnd_seed1_alpha34.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha34.csv
curriculum_icm+rnd_seed1_alpha35,curriculum,0.0,0.875,0.125,1,0.8515625,10.8046875,histories/curriculum_icm+rnd_seed1_alpha35.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha35.csv
curriculum_icm+rnd_seed2_alpha0,curriculum,0.0,0.0,1.0,2,0.99609375,9.421875,histories/curriculum_icm+rnd_seed2_alpha0.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha0.csv
curriculum_icm+rnd_seed2_alpha1,curriculum,0.125,0.0,0.875,2,1.0,8.8203125,histories/curriculum_icm+rnd_seed2_alpha1.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha1.csv
curriculum_icm+rnd_seed2_alpha2,curriculum,0.0,0.125,0.875,2,0.99609375,9.7578125,histories/curriculum_icm+rnd_seed2_alpha2.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha2.csv
curriculum_icm+rnd_seed2_alpha3,curriculum,0.25,0.0,0.75,2,0.99609375,8.12109375,histories/curriculum_icm+rnd_seed2_alpha3.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha3.csv
curriculum_icm+rnd_seed2_alpha4,curriculum,0.125,0.125,0.75,2,1.0,9.38671875,histories/curriculum_icm+rnd_seed2_alpha4.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha4.csv
curriculum_icm+rnd_seed2_alpha5,curriculum,0.0,0.25,0.75,2,1.0,9.796875,histories/curriculum_icm+rnd_seed2_alpha5.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha5.csv
curriculum_icm+rnd_seed2_alpha6,curriculum,0.375,0.0,0.625,2,0.98828125,7.85546875,histories/curriculum_icm+rnd_seed2_alpha6.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha6.csv
curriculum_icm+rnd_seed2_alpha7,curriculum,0.25,0.125,0.625,2,1.0,8.484375,histories/curriculum_icm+rnd_seed2_alpha7.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha7.csv
curriculum_icm+rnd_seed2_alpha8,curriculum,0.125,0.25,0.625,2,1.0,10.015625,histories/curriculum_icm+rnd_seed2_alpha8.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha8.csv
curriculum_icm+rnd_seed2_alpha9,curriculum,0.0,0.375,0.625,2,1.0,9.8203125,histories/curriculum_icm+rnd_seed2_alpha9.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha9.csv
curriculum_icm+rnd_seed2_alpha10,curriculum,0.5,0.0,0.5,2,0.9765625,7.56640625,histories/curriculum_icm+rnd_seed2_alpha10.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha10.csv
curriculum_icm+rnd_seed2_alpha11,curriculum,0.375,0.125,0.5,2,1.0,8.01171875,histories/curriculum_icm+rnd_seed2_alpha11.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha11.csv
curriculum_icm+rnd_seed2_alpha12,curriculum,0.25,0.25,0.5,2,1.0,9.63671875,histories/curriculum_icm+rnd_seed2_alpha12.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha12.csv
curriculum_icm+rnd_seed2_alpha13,curriculum,0.125,0.375,0.5,2,1.0,10.15625,histories/curriculum_icm+rnd_seed2_alpha13.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha13.csv
curriculum_icm+rnd_seed2_alpha14,curriculum,0.0,0.5,0.5,2,0.99609375,9.80078125,histories/curriculum_icm+rnd_seed2_alpha14.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha14.csv
curriculum_icm+rnd_seed2_alpha15,curriculum,0.625,0.0,0.375,2,0.96484375,7.50390625,histories/curriculum_icm+rnd_seed2_alpha15.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha15.csv
curriculum_icm+rnd_seed2_alpha16,curriculum,0.5,0.125,0.375,2,0.99609375,7.7265625,histories/curriculum_icm+rnd_seed2_alpha16.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha16.csv
curriculum_icm+rnd_seed2_alpha17,curriculum,0.375,0.25,0.375,2,1.0,8.4765625,histories/curriculum_icm+rnd_seed2_alpha17.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha17.csv
