run_id,run_type,icm_weight,rnd_weight,extrinsic_weight,seed,final_performance,final_achievements,history_file,alpha_history_file
curriculum_icm+rnd_seed1_alpha3,curriculum,0.25,0.0,0.75,1,1.0,8.96875,histories/curriculum_icm+rnd_seed1_alpha3.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha3.csv
curriculum_icm+rnd_seed1_alpha4,curriculum,0.125,0.125,0.75,1,1.0,9.7890625,histories/curriculum_icm+rnd_seed1_alpha4.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha4.csv
curriculum_icm+rnd_seed1_alpha5,curriculum,0.0,0.25,0.75,1,0.99609375,10.296875,histories/curriculum_icm+rnd_seed1_alpha5.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha5.csv
curriculum_icm+rnd_seed1_alpha6,curriculum,0.375,0.0,0.625,1,0.98828125,8.75390625,histories/curriculum_icm+rnd_seed1_alpha6.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha6.csv
curriculum_icm+rnd_seed1_alpha7,curriculum,0.25,0.125,0.625,1,0.99609375,9.25390625,histories/curriculum_icm+rnd_seed1_alpha7.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha7.csv
curriculum_icm+rnd_seed1_alpha8,curriculum,0.125,0.25,0.625,1,0.99609375,10.58984375,histories/curriculum_icm+rnd_seed1_alpha8.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha8.csv
curriculum_icm+rnd_seed1_alpha9,curriculum,0.0,0.375,0.625,1,1.0,10.8203125,histories/curriculum_icm+rnd_seed1_alpha9.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha9.csv
curriculum_icm+rnd_seed1_alpha10,curriculum,0.5,0.0,0.5,1,0.98828125,8.7890625,histories/curriculum_icm+rnd_seed1_alpha10.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha10.csv
curriculum_icm+rnd_seed1_alpha11,curriculum,0.375,0.125,0.5,1,0.99609375,8.99609375,histories/curriculum_icm+rnd_seed1_alpha11.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha11.csv
curriculum_icm+rnd_seed1_alpha12,curriculum,0.25,0.25,0.5,1,1.0,9.95703125,histories/curriculum_icm+rnd_seed1_alpha12.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha12.csv
curriculum_icm+rnd_seed1_alpha13,curriculum,0.125,0.375,0.5,1,1.0,11.1328125,histories/curriculum_icm+rnd_seed1_alpha13.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha13.csv
curriculum_icm+rnd_seed1_alpha14,curriculum,0.0,0.5,0.5,1,0.99609375,10.76953125,histories/curriculum_icm+rnd_seed1_alpha14.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha14.csv
curriculum_icm+rnd_seed1_alpha15,curriculum,0.625,0.0,0.375,1,0.98046875,8.71484375,histories/curriculum_icm+rnd_seed1_alpha15.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha15.csv
