run_id,run_type,icm_weight,rnd_weight,extrinsic_weight,seed,final_performance,final_achievements,history_file,alpha_history_file
curriculum_icm+rnd_seed1_alpha4,curriculum,0.125,0.125,0.75,1,1.9453125,13.078125,histories/curriculum_icm+rnd_seed1_alpha4.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha4.csv
curriculum_icm+rnd_seed1_alpha5,curriculum,0.0,0.25,0.75,1,1.9453125,13.68359375,histories/curriculum_icm+rnd_seed1_alpha5.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha5.csv
curriculum_icm+rnd_seed1_alpha6,curriculum,0.375,0.0,0.625,1,1.82421875,11.29296875,histories/curriculum_icm+rnd_seed1_alpha6.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha6.csv
curriculum_icm+rnd_seed1_alpha7,curriculum,0.25,0.125,0.625,1,1.953125,13.1171875,histories/curriculum_icm+rnd_seed1_alpha7.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha7.csv
curriculum_icm+rnd_seed1_alpha8,curriculum,0.125,0.25,0.625,1,1.9609375,13.97265625,histories/curriculum_icm+rnd_seed1_alpha8.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha8.csv
curriculum_icm+rnd_seed1_alpha9,curriculum,0.0,0.375,0.625,1,1.9609375,14.44140625,histories/curriculum_icm+rnd_seed1_alpha9.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha9.csv
curriculum_icm+rnd_seed1_alpha10,curriculum,0.5,0.0,0.5,1,1.33984375,9.83984375,histories/curriculum_icm+rnd_seed1_alpha10.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha10.csv
curriculum_icm+rnd_seed1_alpha11,curriculum,0.375,0.125,0.5,1,1.890625,11.76953125,histories/curriculum_icm+rnd_seed1_alpha11.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha11.csv
curriculum_icm+rnd_seed1_alpha12,curriculum,0.25,0.25,0.5,1,1.96484375,13.5859375,histories/curriculum_icm+rnd_seed1_alpha12.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha12.csv
curriculum_icm+rnd_seed1_alpha13,curriculum,0.125,0.375,0.5,1,1.97265625,14.98828125,histories/curriculum_icm+rnd_seed1_alpha13.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha13.csv
curriculum_icm+rnd_seed1_alpha14,curriculum,0.0,0.5,0.5,1,1.98046875,15.6953125,histories/curriculum_icm+rnd_seed1_alpha14.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha14.csv
curriculum_icm+rnd_seed1_alpha15,curriculum,0.625,0.0,0.375,1,0.9921875,7.16796875,histories/curriculum_icm+rnd_seed1_alpha15.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha15.csv
curriculum_icm+rnd_seed1_alpha16,curriculum,0.5,0.125,0.375,1,1.390625,9.56640625,histories/curriculum_icm+rnd_seed1_alpha16.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha16.csv
curriculum_icm+rnd_seed1_alpha17,curriculum,0.375,0.25,0.375,1,1.94140625,12.0390625,histories/curriculum_icm+rnd_seed1_alpha17.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha17.csv
curriculum_icm+rnd_seed1_alpha18,curriculum,0.25,0.375,0.375,1,1.96484375,14.46875,histories/curriculum_icm+rnd_seed1_alpha18.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha18.csv
curriculum_icm+rnd_seed1_alpha19,curriculum,0.125,0.5,0.375,1,1.97265625,15.484375,histories/curriculum_icm+rnd_seed1_alpha19.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha19.csv
curriculum_icm+rnd_seed1_alpha20,curriculum,0.0,0.625,0.375,1,1.9765625,15.95703125,histories/curriculum_icm+rnd_seed1_alpha20.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha20.csv
