eval/total_steps,standardized_return_mean,achievements_mean
4194304,2.910383e-10,3.5
25165824,0.0,0.9921875
46137344,0.0,1.05859375
67108864,5.820766e-11,0.1015625
88080384,0.0,0.14453125
109051904,1.4551915e-10,0.3125
130023424,7.858034e-10,3.1171875
150994944,4.947651e-10,1.92578125
171966464,7.858034e-10,4.46484375
192937984,7.2759576e-10,5.21484375
213909504,3.783498e-10,4.46484375
234881024,5.820766e-11,3.90625
255852544,-2.910383e-10,2.85546875
276824064,-6.9849193e-10,2.78515625
297795584,0.03125,5.66796875
318767104,0.73046875,6.9296875
339738624,0.96484375,9.05859375
360710144,0.984375,8.26171875
381681664,0.984375,8.55078125
402653184,0.9609375,8.65625
423624704,0.9921875,8.28515625
444596224,0.9921875,8.83203125
465567744,0.9296875,8.03515625
486539264,0.99609375,8.6328125
