eval/total_steps,standardized_return_mean,achievements_mean
4194304,4.0745363e-10,1.83203125
12582912,2.910383e-11,2.109375
20971520,1.1641532e-10,2.61328125
29360128,5.820766e-11,2.046875
37748736,0.0,1.37109375
46137344,1.1641532e-10,1.37109375
54525952,5.820766e-11,0.8671875
62914560,3.2014214e-10,0.8359375
71303168,2.3283064e-10,1.28125
79691776,3.2014214e-10,1.734375
88080384,5.820766e-11,1.2734375
96468992,3.783498e-10,2.08984375
104857600,5.820766e-11,2.390625
113246208,2.3283064e-10,3.00390625
121634816,2.3283064e-10,3.07421875
130023424,5.2386895e-10,2.58984375
138412032,2.910383e-10,3.72265625
146800640,2.0372681e-10,3.859375
155189248,1.4551915e-10,3.8515625
163577856,4.0745363e-10,3.51953125
171966464,0.0,3.625
180355072,-1.4551915e-10,3.5
188743680,-2.910383e-11,3.625
197132288,3.2014214e-10,3.65234375
205520896,3.783498e-10,2.8828125
213909504,3.783498e-10,2.80859375
222298112,3.2014214e-10,2.875
230686720,-5.820766e-10,4.53515625
239075328,8.731149e-11,3.5390625
247463936,2.0372681e-10,4.6484375
255852544,2.0372681e-10,5.109375
264241152,1.4551915e-10,4.33203125
272629760,-2.6193447e-10,3.62890625
281018368,1.1641532e-10,4.75
289406976,2.6193447e-10,5.02734375
297795584,-5.529728e-10,4.8359375
306184192,5.2386895e-10,5.08203125
314572800,-6.4028427e-10,4.671875
322961408,8.731149e-11,5.765625
331350016,-1.1641532e-10,5.546875
339738624,9.313226e-10,6.48828125
348127232,4.3655746e-10,5.08203125
356515840,4.656613e-10,6.0625
364904448,-4.0745363e-10,5.96875
373293056,0.0039062505,5.625
381681664,0.00390625,5.87109375
390070272,8.440111e-10,5.87109375
398458880,3.783498e-10,5.953125
406847488,5.820766e-10,5.7734375
415236096,2.3283064e-10,5.6484375
423624704,2.3283064e-10,5.12890625
432013312,1.1641532e-09,5.578125
440401920,8.731149e-11,6.42578125
448790528,3.4924597e-10,4.97265625
457179136,1.4551915e-10,6.27734375
465567744,1.3096724e-09,5.97265625
473956352,0.01171875,5.95703125
482344960,0.00390625,5.9140625
490733568,0.01171875,5.859375
499122176,0.003906251,6.30859375
