eval/total_steps,standardized_return_mean,achievements_mean
4194304,8.440111e-10,3.734375
25165824,4.3655746e-10,2.65625
46137344,0.0,1.9921875
67108864,3.783498e-10,2.31640625
88080384,2.910383e-11,2.140625
109051904,5.529728e-10,2.33203125
130023424,8.731149e-10,3.56640625
150994944,9.0221874e-10,3.20703125
171966464,7.2759576e-10,5.0625
192937984,-5.529728e-10,3.484375
213909504,-8.440111e-10,4.44921875
234881024,-2.3283064e-10,7.2890625
255852544,-2.3283064e-10,4.2421875
276824064,0.0234375,7.30859375
297795584,0.0234375,8.41796875
318767104,0.7734375,7.9140625
339738624,0.953125,10.1328125
360710144,0.9375,10.05078125
381681664,0.9921875,10.875
402653184,0.98828125,10.2109375
423624704,0.9921875,10.15234375
444596224,0.9921875,10.4296875
465567744,0.9921875,9.8359375
486539264,0.98828125,10.3203125
