eval/total_steps,standardized_return_mean,achievements_mean
4194304,4.0745363e-10,2.6640625
25165824,1.7462298e-10,1.17578125
46137344,1.7462298e-10,2.3125
67108864,-2.3283064e-10,4.0625
88080384,-2.910383e-11,3.13671875
109051904,-2.6193447e-10,2.6484375
130023424,1.7462298e-10,3.125
150994944,-1.7462298e-10,2.4765625
171966464,2.910383e-11,2.359375
192937984,-3.2014214e-10,1.4140625
213909504,-2.6193447e-10,2.1015625
234881024,-2.910383e-11,1.84765625
255852544,-8.731149e-11,2.1796875
276824064,-2.910383e-11,2.00390625
297795584,-3.2014214e-10,1.60546875
318767104,3.2014214e-10,1.08203125
339738624,-2.910383e-11,1.015625
360710144,3.783498e-10,0.77734375
381681664,8.731149e-11,2.53125
402653184,9.0221874e-10,1.72265625
423624704,1.0768417e-09,1.6484375
444596224,4.656613e-10,1.2578125
465567744,4.947651e-10,1.19140625
486539264,4.656613e-10,1.2109375
