eval/total_steps,standardized_return_mean,achievements_mean
4194304,2.910383e-10,3.6015625
25165824,2.0372681e-10,3.33203125
46137344,8.1490725e-10,2.29296875
67108864,1.2805685e-09,2.5
88080384,2.3283064e-10,2.69140625
109051904,9.313226e-10,2.6484375
130023424,1.0768417e-09,3.1796875
150994944,6.9849193e-10,3.6171875
171966464,8.1490725e-10,5.01171875
192937984,1.2514647e-09,3.47265625
213909504,2.0372681e-10,3.85546875
234881024,1.0477379e-09,6.76953125
255852544,4.0745363e-10,4.46484375
276824064,-1.1059456e-09,7.01171875
297795584,0.011718751,8.4375
318767104,0.7578125,7.99609375
339738624,0.9765625,10.2265625
360710144,0.98046875,10.54296875
381681664,0.98046875,10.796875
402653184,0.94140625,10.1328125
423624704,0.99609375,10.3671875
444596224,0.98046875,10.25390625
465567744,0.98046875,10.640625
486539264,0.98828125,10.4921875
