eval/total_steps,standardized_return_mean,achievements_mean
4194304,3.4924597e-10,3.671875
25165824,4.3655746e-10,2.48046875
46137344,2.910383e-10,1.921875
67108864,2.6193447e-10,1.94921875
88080384,1.4551915e-10,1.69140625
109051904,1.4551915e-10,1.96875
130023424,2.6193447e-10,3.80078125
150994944,4.3655746e-10,2.30078125
171966464,5.529728e-10,4.8671875
192937984,-1.1641532e-10,6.0234375
213909504,-3.2014214e-10,6.203125
234881024,-3.2014214e-10,7.33203125
255852544,-5.820766e-11,3.890625
276824064,-1.1059456e-09,3.66015625
297795584,0.03515625,6.8046875
318767104,0.78515625,7.8125
339738624,0.96875,9.48046875
360710144,0.9765625,9.0390625
381681664,0.98828125,9.22265625
402653184,0.9765625,9.1171875
423624704,0.984375,9.19140625
444596224,0.9921875,9.33203125
465567744,0.9921875,8.92578125
486539264,0.984375,9.2421875
