eval/total_steps,standardized_return_mean,achievements_mean
4194304,2.0372681e-10,3.484375
25165824,6.693881e-10,2.87890625
46137344,4.656613e-10,2.07421875
67108864,5.2386895e-10,1.875
88080384,3.2014214e-10,2.125
109051904,4.0745363e-10,2.4609375
130023424,1.3969839e-09,3.54296875
150994944,1.0186341e-09,2.765625
171966464,1.4551915e-09,4.87109375
192937984,-8.731149e-11,5.953125
213909504,9.0221874e-10,6.25390625
234881024,-7.566996e-10,7.27734375
255852544,-6.693881e-10,4.7109375
276824064,0.00390625,3.62109375
297795584,0.015625,4.51953125
318767104,0.6953125,7.5
339738624,0.984375,9.46484375
360710144,0.97265625,9.46875
381681664,0.984375,9.2265625
402653184,0.984375,9.09375
423624704,0.9921875,9.16796875
444596224,0.984375,9.359375
465567744,0.98828125,9.1484375
486539264,0.984375,9.14453125
