eval/total_steps,standardized_return_mean,achievements_mean
4194304,6.9849193e-10,3.66796875
25165824,1.7462298e-10,2.59375
46137344,4.3655746e-10,2.8515625
67108864,6.693881e-10,3.21875
88080384,1.7462298e-10,2.8125
109051904,7.566996e-10,2.5703125
130023424,1.1641532e-09,3.515625
150994944,-2.3283064e-10,4.03125
171966464,1.4551915e-09,5.1875
192937984,1.0768417e-09,3.2734375
213909504,4.0745363e-10,3.4609375
234881024,-4.656613e-10,6.8671875
255852544,1.1641532e-10,4.8984375
276824064,-4.0745363e-10,6.44140625
297795584,0.0078125,7.609375
318767104,0.1171875,7.03125
339738624,0.20703125,7.6171875
360710144,0.8828125,9.43359375
381681664,0.296875,8.5390625
402653184,0.79296875,10.1171875
423624704,0.53515625,8.8125
444596224,0.30078125,7.765625
465567744,0.48046875,8.6796875
486539264,0.953125,10.66015625
