eval/total_steps,standardized_return_mean,achievements_mean
4194304,3.4924597e-10,3.6953125
25165824,5.820766e-10,2.6171875
46137344,4.656613e-10,2.16015625
67108864,4.3655746e-10,2.69140625
88080384,-2.910383e-11,2.47265625
109051904,8.1490725e-10,2.46875
130023424,1.4551915e-09,3.43359375
150994944,-1.7462298e-10,3.48046875
171966464,3.4924597e-10,5.234375
192937984,1.3969839e-09,3.2578125
213909504,-3.4924597e-10,4.07421875
234881024,-2.910383e-10,7.0078125
255852544,1.1641532e-10,4.1953125
276824064,-6.9849193e-10,6.82421875
297795584,0.015625,8.125
318767104,0.64453125,7.4765625
339738624,0.96484375,10.171875
360710144,0.984375,10.33984375
381681664,0.98828125,10.84765625
402653184,0.9921875,10.75
423624704,0.9921875,10.36328125
444596224,0.9921875,10.32421875
465567744,0.9765625,10.90234375
486539264,0.98828125,10.4453125
